filing_year,filing_period,player,registrant_name,reported_amount,filing_type,matched_keywords,filing_uuid,lda_public_url
2022,first_quarter,Americans for Prosperity,AMERICANS FOR PROSPERITY,490000,Q1,clemency,a12048d5-4b91-4afb-aead-837a2dcabeb6,https://lda.senate.gov/filings/public/filing/a12048d5-4b91-4afb-aead-837a2dcabeb6/print/
2022,first_quarter,American Civil Liberties Union,AMERICAN CIVIL LIBERTIES UNION,320000,Q1,clemency,d734cb1f-71dd-41fb-9371-ce87d633bfdc,https://lda.senate.gov/filings/public/filing/d734cb1f-71dd-41fb-9371-ce87d633bfdc/print/
2022,first_quarter,COMMON CAUSE,COMMON CAUSE,30000,Q1,pardon,d75fe769-1f02-4c32-ab8d-232fd8e85109,https://lda.senate.gov/filings/public/filing/d75fe769-1f02-4c32-ab8d-232fd8e85109/print/
2022,first_quarter,DUE PROCESS INSTITUTE,DUE PROCESS INSTITUTE,20000,Q1,clemency; pardon,5a860519-0828-46d3-bfba-0461353ed22e,https://lda.senate.gov/filings/public/filing/5a860519-0828-46d3-bfba-0461353ed22e/print/
2022,fourth_quarter,American Civil Liberties Union,AMERICAN CIVIL LIBERTIES UNION,410000,Q4,clemency; pardons,64d1833d-34ad-408e-aa9b-a3265dd3b972,https://lda.senate.gov/filings/public/filing/64d1833d-34ad-408e-aa9b-a3265dd3b972/print/
2022,fourth_quarter,The Immigration Hub LLC,THE IMMIGRATION HUB LLC,150000,Q4,pardons,bbfbeef5-86e8-4fd9-bd0c-f7675a3d4ff1,https://lda.senate.gov/filings/public/filing/bbfbeef5-86e8-4fd9-bd0c-f7675a3d4ff1/print/
2022,fourth_quarter,National Cannabis Roundtable,"THE LIAISON GROUP, LLC",65500,4A,clemency; pardons,34f21c24-2891-4115-a798-0731aa2b848d,https://lda.senate.gov/filings/public/filing/34f21c24-2891-4115-a798-0731aa2b848d/print/
2022,fourth_quarter,COMMON CAUSE,COMMON CAUSE,30000,Q4,pardon,a0d6a93d-0ad7-4083-b62e-f50981e71878,https://lda.senate.gov/filings/public/filing/a0d6a93d-0ad7-4083-b62e-f50981e71878/print/
2022,fourth_quarter,DUE PROCESS INSTITUTE,DUE PROCESS INSTITUTE,20000,Q4,clemency; pardon,4b45feea-1d17-4ad4-8eda-0cbdea543d1d,https://lda.senate.gov/filings/public/filing/4b45feea-1d17-4ad4-8eda-0cbdea543d1d/print/
2022,fourth_quarter,NATIONAL ASSOCIATION OF CRIMINAL DEFENSE LAWYERS (NACDL),NATIONAL ASSOCIATION OF CRIMINAL DEFENSE LAWYERS (NACDL),15000,Q4,clemency,851fd44b-a45c-484a-960b-0aaf4f4e091d,https://lda.senate.gov/filings/public/filing/851fd44b-a45c-484a-960b-0aaf4f4e091d/print/
2022,fourth_quarter,CALIFORNIA CANNABIS INDUSTRY ASSOCIATION,"THE LIAISON GROUP, LLC",8000,Q4,pardons,9706a3b4-6ccf-4b6f-b014-39b1a9e0be7d,https://lda.senate.gov/filings/public/filing/9706a3b4-6ccf-4b6f-b014-39b1a9e0be7d/print/
2022,fourth_quarter,CONFERENCE OF PROVINCIALS OF NORTH AMERICA,NATIONAL ADVOCACY CENTER OF THE SISTERS OF THE GOOD SHEPHERD,,Q4,pardoning,37f87a99-666a-4960-9ecf-e5859254ec00,https://lda.senate.gov/filings/public/filing/37f87a99-666a-4960-9ecf-e5859254ec00/print/
2022,second_quarter,American Civil Liberties Union,AMERICAN CIVIL LIBERTIES UNION,330000,Q2,clemency,2e1daf5e-6bf3-4a5f-981b-79bba579db1d,https://lda.senate.gov/filings/public/filing/2e1daf5e-6bf3-4a5f-981b-79bba579db1d/print/
2022,second_quarter,National Cannabis Roundtable,"THE LIAISON GROUP, LLC",65500,Q2,clemency,5a1f3873-a2e3-44d7-b003-9873617f12ac,https://lda.senate.gov/filings/public/filing/5a1f3873-a2e3-44d7-b003-9873617f12ac/print/
2022,second_quarter,COMMON CAUSE,COMMON CAUSE,30000,Q2,pardon,49a5e259-ef8d-4a68-800e-0cac368a6842,https://lda.senate.gov/filings/public/filing/49a5e259-ef8d-4a68-800e-0cac368a6842/print/
2022,second_quarter,DUE PROCESS INSTITUTE,DUE PROCESS INSTITUTE,20000,Q2,clemency; pardon,6ccb234d-e0c0-4b82-9ccb-b5c97866caa4,https://lda.senate.gov/filings/public/filing/6ccb234d-e0c0-4b82-9ccb-b5c97866caa4/print/
2022,second_quarter,NATIONAL ASSOCIATION OF CRIMINAL DEFENSE LAWYERS (NACDL),NATIONAL ASSOCIATION OF CRIMINAL DEFENSE LAWYERS (NACDL),15000,Q2,clemency,cfc5093d-12de-470e-aa43-cb3f132d5eb0,https://lda.senate.gov/filings/public/filing/cfc5093d-12de-470e-aa43-cb3f132d5eb0/print/
2022,second_quarter,NATIONAL ASSOCIATION OF ASSISTANT UNITED STATES ATTORNEYS,"SHAW, BRANSFORD & ROTH, P.C. (FORMERLY SHAW, BRANSFORD, VEILLEUX & ROTH, P.C.)",10000,Q2,clemency; pardon,9a236538-0930-43fe-b297-17da449fa903,https://lda.senate.gov/filings/public/filing/9a236538-0930-43fe-b297-17da449fa903/print/
2022,third_quarter,National Cannabis Roundtable,"THE LIAISON GROUP, LLC",65500,Q3,clemency; pardons,ec92fb53-bd29-4383-8bd7-b9a89eafac34,https://lda.senate.gov/filings/public/filing/ec92fb53-bd29-4383-8bd7-b9a89eafac34/print/
2022,third_quarter,COMMON CAUSE,COMMON CAUSE,30000,Q3,pardon,37e43efd-ee90-4c97-9d7a-9f4de5fbf844,https://lda.senate.gov/filings/public/filing/37e43efd-ee90-4c97-9d7a-9f4de5fbf844/print/
2022,third_quarter,DUE PROCESS INSTITUTE,DUE PROCESS INSTITUTE,20000,Q3,clemency; pardon,06ecce42-69cd-4e82-873f-b87b81e70a7b,https://lda.senate.gov/filings/public/filing/06ecce42-69cd-4e82-873f-b87b81e70a7b/print/
2022,third_quarter,NATIONAL ASSOCIATION OF CRIMINAL DEFENSE LAWYERS (NACDL),NATIONAL ASSOCIATION OF CRIMINAL DEFENSE LAWYERS (NACDL),15000,Q3,clemency,40068144-3a2f-44ed-bbbd-ed1c336f0616,https://lda.senate.gov/filings/public/filing/40068144-3a2f-44ed-bbbd-ed1c336f0616/print/
2023,first_quarter,American Civil Liberties Union,AMERICAN CIVIL LIBERTIES UNION,250000,Q1,clemency,38d10935-05cd-4db2-af8e-43d60837693a,https://lda.senate.gov/filings/public/filing/38d10935-05cd-4db2-af8e-43d60837693a/print/
2023,first_quarter,NDN Collective,THE ANGLE,50000,Q1,clemency,12c6da84-1635-4361-8436-dbcaea4b2877,https://lda.senate.gov/filings/public/filing/12c6da84-1635-4361-8436-dbcaea4b2877/print/
2023,first_quarter,DUE PROCESS INSTITUTE,DUE PROCESS INSTITUTE,20000,Q1,clemencies; commutations; pardons,5c8df054-a858-424b-917b-2b6a85940bf5,https://lda.senate.gov/filings/public/filing/5c8df054-a858-424b-917b-2b6a85940bf5/print/
2023,first_quarter,AMERICAN CONSERVATIVE UNION,AMERICAN CONSERVATIVE UNION,10000,Q1,clemency,f47ac612-2c91-4ef5-ba37-c5dd63969cec,https://lda.senate.gov/filings/public/filing/f47ac612-2c91-4ef5-ba37-c5dd63969cec/print/
2023,fourth_quarter,American Civil Liberties Union,AMERICAN CIVIL LIBERTIES UNION,290000,Q4,clemency; pardon; pardons,2a07c1f0-2863-4064-b53f-9be19cea50ea,https://lda.senate.gov/filings/public/filing/2a07c1f0-2863-4064-b53f-9be19cea50ea/print/
2023,fourth_quarter,NDN Collective,THE ANGLE,50000,Q4,clemency,f46f5476-3749-40be-9259-540314ca7ea3,https://lda.senate.gov/filings/public/filing/f46f5476-3749-40be-9259-540314ca7ea3/print/
2023,fourth_quarter,DUE PROCESS INSTITUTE,DUE PROCESS INSTITUTE,40000,Q4,clemencies; commutations; pardons,215d7024-1285-4a61-8cfc-386d96f1a8d1,https://lda.senate.gov/filings/public/filing/215d7024-1285-4a61-8cfc-386d96f1a8d1/print/
2023,fourth_quarter,COMMON CAUSE,COMMON CAUSE,30000,Q4,pardon,37a81347-3b3c-464c-aea0-4d9fe54eea73,https://lda.senate.gov/filings/public/filing/37a81347-3b3c-464c-aea0-4d9fe54eea73/print/
2023,fourth_quarter,AMERICAN CONSERVATIVE UNION,AMERICAN CONSERVATIVE UNION,10000,Q4,clemency,356fe208-fdd7-4ff1-8a28-14453c51663c,https://lda.senate.gov/filings/public/filing/356fe208-fdd7-4ff1-8a28-14453c51663c/print/
2023,fourth_quarter,AMNESTY INTERNATIONAL USA,"NVG, LLC",10000,4T,clemency,6c5d5d12-5800-40c5-897f-2cf2756b5437,https://lda.senate.gov/filings/public/filing/6c5d5d12-5800-40c5-897f-2cf2756b5437/print/
2023,second_quarter,American Civil Liberties Union,AMERICAN CIVIL LIBERTIES UNION,250000,Q2,clemency; pardons,971ea5dd-0e27-44eb-84d7-31bd77a3adf4,https://lda.senate.gov/filings/public/filing/971ea5dd-0e27-44eb-84d7-31bd77a3adf4/print/
2023,second_quarter,NDN Collective,THE ANGLE,50000,Q2,clemency,3da6e9fc-8e7b-442d-a7d6-1a6ef0dedc79,https://lda.senate.gov/filings/public/filing/3da6e9fc-8e7b-442d-a7d6-1a6ef0dedc79/print/
2023,second_quarter,COMMON CAUSE,COMMON CAUSE,30000,Q2,pardon,9a5101f1-6907-4e4a-be29-adf2e7e1e16b,https://lda.senate.gov/filings/public/filing/9a5101f1-6907-4e4a-be29-adf2e7e1e16b/print/
2023,second_quarter,DUE PROCESS INSTITUTE,DUE PROCESS INSTITUTE,20000,Q2,clemencies; commutations; pardons,bfe3a3b5-96d1-4a32-82c0-9f271f313b36,https://lda.senate.gov/filings/public/filing/bfe3a3b5-96d1-4a32-82c0-9f271f313b36/print/
2023,second_quarter,AMNESTY INTERNATIONAL USA,"NVG, LLC",10000,Q2,clemency,6f22e09f-3e6b-4e86-b86f-03ba58ba9f44,https://lda.senate.gov/filings/public/filing/6f22e09f-3e6b-4e86-b86f-03ba58ba9f44/print/
2023,third_quarter,American Civil Liberties Union,AMERICAN CIVIL LIBERTIES UNION,260000,Q3,clemency; pardon; pardons,2c83d5f9-cb5d-4d96-99e9-771f1d5d43b9,https://lda.senate.gov/filings/public/filing/2c83d5f9-cb5d-4d96-99e9-771f1d5d43b9/print/
2023,third_quarter,NDN Collective,THE ANGLE,50000,Q3,clemency,a0bb5201-680d-41b8-8fde-2f137a6ece60,https://lda.senate.gov/filings/public/filing/a0bb5201-680d-41b8-8fde-2f137a6ece60/print/
2023,third_quarter,COMMON CAUSE,COMMON CAUSE,30000,Q3,pardon,d20f854c-1c90-4249-8e94-3b8a5a48588c,https://lda.senate.gov/filings/public/filing/d20f854c-1c90-4249-8e94-3b8a5a48588c/print/
2023,third_quarter,DUE PROCESS INSTITUTE,DUE PROCESS INSTITUTE,20000,Q3,clemencies; commutations; pardons,2d50de8d-f0eb-4a33-bf3e-22f9ca6b49d2,https://lda.senate.gov/filings/public/filing/2d50de8d-f0eb-4a33-bf3e-22f9ca6b49d2/print/
2023,third_quarter,AMNESTY INTERNATIONAL USA,"NVG, LLC",10000,Q3,clemency,31092128-2503-4af0-98af-de64d75d4595,https://lda.senate.gov/filings/public/filing/31092128-2503-4af0-98af-de64d75d4595/print/
2023,third_quarter,AMERICAN CONSERVATIVE UNION,AMERICAN CONSERVATIVE UNION,10000,Q3,clemency,7e0a1638-f79c-4e6f-b24c-ae4cdee0089e,https://lda.senate.gov/filings/public/filing/7e0a1638-f79c-4e6f-b24c-ae4cdee0089e/print/
2024,first_quarter,American Civil Liberties Union,AMERICAN CIVIL LIBERTIES UNION,490000,Q1,clemency; pardon,0d0f7d7f-1c3c-49dd-9c06-7bf8159773bc,https://lda.senate.gov/filings/public/filing/0d0f7d7f-1c3c-49dd-9c06-7bf8159773bc/print/
2024,first_quarter,The Immigration Hub LLC,THE IMMIGRATION HUB LLC,130000,Q1,pardon,bd0bb552-a608-408f-9d1e-854bc9da477a,https://lda.senate.gov/filings/public/filing/bd0bb552-a608-408f-9d1e-854bc9da477a/print/
2024,first_quarter,ORIGIN PROPERTY GROUP,"A10 ASSOCIATES, LLC",80000,Q1,pardon,bffa49c9-7c43-4c53-bb02-76c1e4c7f18f,https://lda.senate.gov/filings/public/filing/bffa49c9-7c43-4c53-bb02-76c1e4c7f18f/print/
2024,first_quarter,NDN Collective,THE ANGLE,50000,Q1,clemency,b59b75d5-f816-42af-8c0f-f69f14481f35,https://lda.senate.gov/filings/public/filing/b59b75d5-f816-42af-8c0f-f69f14481f35/print/
2024,first_quarter,DUE PROCESS INSTITUTE,DUE PROCESS INSTITUTE,30000,Q1,clemencies; commutations; pardons,8b619923-49ba-42bd-a425-ff75a2bc3156,https://lda.senate.gov/filings/public/filing/8b619923-49ba-42bd-a425-ff75a2bc3156/print/
2024,first_quarter,COMMON CAUSE,COMMON CAUSE,30000,Q1,pardon; pardons,b512ac53-9777-4e18-879e-1edbb464da9d,https://lda.senate.gov/filings/public/filing/b512ac53-9777-4e18-879e-1edbb464da9d/print/
2024,fourth_quarter,Leadership Conference on Civil and Human Rights,LEADERSHIP CONFERENCE ON CIVIL AND HUMAN RIGHTS,530000,Q4,clemency,83594f03-f4bc-4b8b-a58c-63a5f104fae6,https://lda.senate.gov/filings/public/filing/83594f03-f4bc-4b8b-a58c-63a5f104fae6/print/
2024,fourth_quarter,American Civil Liberties Union,AMERICAN CIVIL LIBERTIES UNION,470000,Q4,clemency; commutations; pardon; pardons,10d43023-5923-4bec-b486-5b04e84690bf,https://lda.senate.gov/filings/public/filing/10d43023-5923-4bec-b486-5b04e84690bf/print/
