bill,clients,filings,first_year,last_year
HR1,492,1942,2022,2026
HR5376,467,2268,2022,2026
HR3684,404,2199,2022,2026
HR2617,303,570,2022,2026
HR3935,294,1677,2023,2026
HR8294,282,688,2022,2025
S1939,244,1331,2023,2026
HR9028,228,617,2024,2026
HR4521,221,687,2022,2026
HR4820,209,616,2023,2025
S1260,204,690,2022,2026
HR2471,200,379,2022,2023
HR4552,194,466,2023,2026
HR7900,190,539,2022,2026
S4796,186,436,2022,2026
HR4366,178,458,2022,2026
S2465,178,426,2025,2026
S2437,176,521,2023,2025
HR1319,175,712,2022,2026
HR2670,172,605,2023,2026
S4670,146,286,2022,2025
HR7776,145,322,2022,2026
HR1968,139,327,2025,2026
HR7024,139,535,2023,2026
HR8070,138,373,2024,2026
S2226,114,344,2023,2025
S4638,112,281,2024,2026
HR5371,108,248,2022,2026
S4543,108,203,2022,2025
S2296,106,239,2025,2026
HR2882,104,221,2024,2026
HR8255,101,256,2022,2026
HR471,99,560,2023,2026
S3580,99,304,2022,2026
HR4394,98,349,2023,2026
HR4996,97,311,2022,2024
HR4776,96,214,2025,2026
S576,93,605,2022,2026
HR10545,92,140,2024,2026
HR3838,92,221,2023,2026
HR8997,92,275,2024,2026
S2605,90,245,2022,2024
HR7148,84,92,2025,2026
HR8774,84,261,2024,2026
HR3746,83,330,2023,2026
S4802,83,197,2022,2025
S2587,82,232,2023,2026
SCONRES14,82,260,2022,2026
HR4502,81,157,2022,2022
HR1512,80,318,2022,2025
HR6833,80,187,2022,2026
HR8467,79,256,2024,2026
HR4367,78,310,2023,2025
HR4550,78,150,2022,2026
HR9026,78,205,2024,2026
HR8236,77,222,2022,2025
HR4821,76,265,2023,2024
HR4365,75,271,2023,2026
HR8256,75,178,2022,2023
HR8262,74,200,2022,2023
