ld203_filer_org,disclosed_giving_total,items
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,10858063.0,3098
INTERNATIONAL BROTHERHOOD OF TEAMSTERS,8323600.0,1273
AARP,7956043.0,296
HONEYWELL INTERNATIONAL,7712170.0,2819
BOEING COMPANY,7405782.0,2943
MICROSOFT CORPORATION,6996517.0,1359
WALMART INC.,6505685.0,2033
NATIONAL AUTOMOBILE DEALERS ASSOCIATION,6311500.0,1567
"L3HARRIS TECHNOLOGIES, INC.",5029528.0,1258
FEDEX CORPORATION,4724409.0,1439
ALLIED PILOTS ASSOCIATION,3756710.0,1225
SOUTHERN COMPANY,3373966.0,1169
SOUTHWEST AIRLINES,3242782.0,455
INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,2884200.0,719
NATIONAL ASSOCIATION OF CONVENIENCE STORES,2881500.0,998
TARGET CORPORATION,2843600.0,570
BNSF RAILWAY COMPANY,2784750.0,1069
NORFOLK SOUTHERN CORPORATION,2567090.0,776
"UNITED AIRLINES, INC.",2513975.0,425
"ENTERPRISE HOLDINGS, INC. DBA ENTERPRISE MOBILITY",2171950.0,500
CSX CORPORATION,2011170.0,672
FLUOR CORPORATION,1915200.0,513
AMERICAN TRUCKING ASSOCIATIONS,1896771.0,805
AMERICAN PETROLEUM INSTITUTE,1856049.0,366
"AMERICAN AIRLINES, INC.",1824153.0,842
LIBERTY MUTUAL GROUP,1628600.0,632
TEXTRON INC.,1480430.0,839
AMERICAN CHEMISTRY COUNCIL,1428973.0,683
"UBER TECHNOLOGIES, INC.",1373291.0,69
CONSUMER TECHNOLOGY ASSOCIATION,1356956.0,316
U.S. TRAVEL ASSOCIATION,1313045.0,476
FORD MOTOR COMPANY,1308431.0,388
REAL ESTATE ROUNDTABLE,1223000.0,351
AMERICAN MARITIME OFFICERS,1183472.0,568
NATIONAL MARINE MANUFACTURERS ASSOCIATION,1169500.0,540
AMERICAN BEVERAGE ASSOCIATION,1163123.0,320
AMERICAN CLEAN POWER ASSOCIATION,1134222.0,296
EDISON ELECTRIC INSTITUTE,1033140.0,391
ENERGY MARKETERS OF AMERICA,766410.0,459
TRANSPORTATION INTERMEDIARIES ASSOCIATION,664300.0,197
"CHENIERE ENERGY, INC.",600400.0,250
3M COMPANY,592435.0,279
AECOM,564800.0,326
ENVIRONMENTAL DEFENSE ACTION FUND,508640.0,344
CUBIC CORPORATION,506500.0,165
WAYMO LLC,490250.0,25
SIEMENS CORPORATION,463700.0,270
"SALTCHUK RESOURCES, INC.",360150.0,165
ASSOCIATION OF AMERICAN RAILROADS,353399.0,377
GENERAL AVIATION MANUFACTURERS ASSOCIATION,352500.0,206
INTERNATIONAL DAIRY FOODS ASSOCIATION,331164.0,232
"LIVE NATION ENTERTAINMENT, INC.",323170.0,148
AMERICAN BUS ASSOCIATION,242185.0,246
JETBLUE AIRWAYS CORPORATION,227000.0,118
VULCAN MATERIALS COMPANY,205001.0,68
AMERICAN ASSOCIATION OF AIRPORT EXECUTIVES,197281.0,110
CENTER FOR SPORTFISHING POLICY,195400.0,71
COVESTRO LLC,142000.0,90
"EMBRAER AIRCRAFT HOLDING, INC.",97000.0,53
"C.H. ROBINSON WORLDWIDE, INC.",84410.0,44
GLOBAL BUSINESS TRAVEL ASSOCIATION,79250.0,46
"BRISTOW GROUP, INC.",66500.0,9
AMRIZE NORTH AMERICA INC.,64700.0,31
SAILDRONE INC.,58550.0,58
"JOBY AERO, INC.",54000.0,35
LYFT,47400.0,18
NATIONAL ASPHALT PAVEMENT ASSOCIATION,39000.0,31
SSA MARINE,34400.0,20
ASSOCIATION FOR MATERIALS PROTECTION AND PERFORMANCE (AMPP),29088.0,20
RELIABLE ROBOTICS CORPORATION,25750.0,42
"DIRECT CHASSISLINK, INC.",17500.0,15
"PPG INDUSTRIES, INC",17500.0,5
"AUTODESK, INC",11425.0,26
"WILLIAMS & LAKE, LLC",10550.0,6
"AMERICAN HONDA MOTOR CO., INC.",9533.0,14
"SUPERNAL, LLC (FKA GENESIS AIR MOBILITY)",8250.0,5
REGIONAL AIRLINE ASSOCIATION,7500.0,4
"DJI TECHNOLOGY, INC.",6800.0,4
NATIONAL ASSOCIATION OF WATERFRONT EMPLOYERS,2500.0,8
BIPARTISAN POLICY CENTER ACTION,2000.0,5
ENVIRI F/K/A HARSCO CORPORATION,2000.0,2
WORLD SHIPPING COUNCIL,1100.0,3
AMERICAN PUBLIC TRANSPORTATION ASSOCIATION,593.0,3
ENVIRI,500.0,1
