member,bioguide_id,chamber,state,party_bracket,direct,campaign_committee,leadership_pac,total_attributable,jfc_shared_unallocated,multi_honoree_unallocated,items,n_filed_variants,inferred_flag
James E. Clyburn,C000537,House,SC,(D-SC),1079250.0,17500.0,15000.0,1111750.0,0.0,10000.0,202,17,
Sam Graves,G000546,House,MO,(R-MO),722800.0,14750.0,0.0,737550.0,0.0,0.0,314,22,
Steve Scalise,S001176,House,LA,(R-LA),657500.0,7500.0,0.0,665000.0,34900.0,0.0,175,11,
Mike Johnson,J000299,House,LA,(R-LA),609500.0,17500.0,0.0,627000.0,0.0,0.0,110,8,
Rick Larsen,L000560,House,WA,(D-WA),568650.0,21000.0,1500.0,591150.0,0.0,0.0,250,10,
John Thune,T000250,Senate,SD,(R-SD),551500.0,6000.0,4000.0,561500.0,0.0,0.0,172,10,
Pete Aguilar,A000371,House,CA,(D-CA),553000.0,6000.0,0.0,559000.0,0.0,0.0,226,9,
Tom Emmer,E000294,House,MN,(R-MN),492074.79000000004,8300.0,5000.0,505374.79000000004,0.0,0.0,196,18,inferred
Roger F. Wicker,W000437,Senate,MS,(R-MS),482250.0,10500.0,6000.0,498750.0,0.0,0.0,165,13,
Hakeem S. Jeffries,J000294,House,NY,(D-NY),481400.0,2500.0,0.0,483900.0,0.0,0.0,133,10,
Tom Cole,C001053,House,OK,(R-OK),434250.0,21750.0,0.0,456000.0,0.0,0.0,194,13,
Jerry Moran,M000934,Senate,KS,(R-KS),441750.0,0.0,0.0,441750.0,0.0,0.0,155,10,
John Cornyn,C001056,Senate,TX,(R-TX),412000.0,5000.0,6000.0,423000.0,6000.0,0.0,144,12,inferred
Deb Fischer,F000463,Senate,NE,(R-NE),410650.0,3000.0,7000.0,420650.0,0.0,0.0,191,14,
Richard Hudson,H001067,House,NC,(R-NC),406500.0,4000.0,0.0,410500.0,0.0,5000.0,148,13,
