recipient_raw,items,total
SENATE MAJORITY PAC,17,4510000.0
N/A,1367,3149105.0
HOUSE MAJORITY PAC,10,2725000.0
DONATION FOR THE CONSTRUCTION OF THE CAPITOL VISITOR CENTER TUNNEL IN THE THOMAS JEFFERSON BUILDING (CONGRESSIONAL CROSSROADS),1,2500000.0
MEMBERS OF THE CONGRESSIONAL HISPANIC CAUCUS,11,2342500.0
"TRUMP VANCE INAUGURAL COMMITTEE, INC",3,1350000.0
NRSC,66,1102702.0
PRESIDENT DONALD TRUMP AND VICE PRESIDENT J.D. VANCE,2,1050000.0
PRESIDENT DONALD TRUMP AND VICE PRESIDENT JD VANCE,3,1050000.0
"FOUNDING DONOR AND SPONSOR OF THE DESIGN, DEVELOPMENT, AND OPENING OF THE SMITHSONIAN AMERICAN WOMEN'S HISTORY MUSEUM. ENTITY CONTROLLED BY COVERED OFFICIALS. MULTIPLE MOCS ON BOARD OF REGENTS",1,1000000.0
"FOUNDING DONOR AND SPONSOR OF THE DESIGN, DEVELOPMENT, AND OPENING OF THE SMITHSONIAN NATIONAL MUSEUM OF AMERICAN LATINO. ENTITY CONTROLLED BY COVERED OFFICIALS. MULTIPLE MOCS ON BOARD OF REGENTS",1,1000000.0
PRESIDENT DONALD J. TRUMP VICE PRESIDENT JD VANCE,1,1000000.0
DSCC,56,997000.0
NRCC,103,948454.0
DCCC,52,948000.0
MULTIPLE CANDIDATES,38,881250.0
DONALD J. TRUMP AND JD VANCE,1,750000.0
DONALD TRUMP AND JD VANCE,1,500000.0
TRUMP-VANCE INAUGURAL COMMITTEE,1,500000.0
CONGRESSIONAL MEMBERS,13,465000.0
MEMBERS OF THE CONGRESSIONAL BLACK CAUCUS,15,425000.0
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,48,419960.0
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,34,395438.0
CONGRESSIONAL HISPANIC CAUCUS,11,375000.0
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,24,366500.0
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,36,364200.0
CONGRESSIONAL BLACK CAUCUS FOUNDATION,5,345000.0
CONGRESSIONAL ART COMPETITION. DONATION OF AIRLINE PASSES FOR A STUDENT WINNER AND ONE GUEST FROM MOST CONGRESSIONAL DISTRICTS. REPS DEREK KILMER (D-WA) AND RODNEY DAVIS (R-IL) HONORARY CHAIRS,1,317600.0
CONGRESSIONAL ARTS CAUCUS CO-CHAIRS REP. SCOTT FRANKLIN (R-FL) AND REP. CHRIS DELUZIO (D-PA). CONTRIBUTION IN THE FORM OF 1560 ONE-WAY AIRLINE PASSES TO SUPPORT THE CONGRESSIONAL ART COMPETITION,1,312000.0
CONGRESSIONAL BLACK CAUCUS,13,307500.0
"CONGRESSIONAL ARTS CAUCUS (REP. DINA TITUS (D-NV) & REP. BETH VAN DUYNE (R-TX), CHAIRS). CONTRIBUTION IN THE FORM OF 1520 ONE-WAY AIRLINE PASSES TO SUPPORT CONGRESSIONAL ARTS COMPETITION",1,304000.0
"CONGRESSIONAL ARTS CAUCUS (REP. SYDNEY KAMLAGER-DOVE (D-CA) & REP. CAROL MILLER (R-WV), CHAIRS). CONTRIBUTION IN THE FORM OF 1504 ONE-WAY AIRLINE PASSES TO SUPPORT CONGRESSIONAL ARTS COMPETITION",1,300800.0
NATL REP CONG CMTE(NRCC)-FEDERAL ACCT,17,285000.0
"REPS. DON BEYER AND BILL FOSTER WERE AMONG THE HONOREES, CTA DIGITAL PATRIOTS DINNER",1,276989.0
DEM CONG CAMP CMTE(DCCC)-FEDERAL ACCT,16,270000.0
JAMES CLYBURN,49,258500.0
BARACK OBAMA (IN-KIND CONTRIBUTION: TRAVEL),1,250000.0
DONALD J. TRUMP AND JAMES DAVID VANCE,1,250000.0
DONALD J. TRUMP AND JD VANCE (IN-KIND CONTRIBUTION: TRAVEL),1,250000.0
SPONSORSHIP OF THE 2025 NSO POPS SEASON,1,250000.0
SPONSORSHIP OF THE GERSHWIN PRIZE,1,250000.0
SPONSORSHIP OF THE NSO POPS SEASON (PAYMENT 2 OF 2),1,250000.0
"CONGRESSIONAL HISPANIC CAUCUS (REP. ADRIANO ESPAILLAT (D-NY), CHAIR). CONTRIBUTION WAS MADE IN THE FORM OF 600 ONE-WAY AIRLINE TICKETS",2,240000.0
