quarter,trans_releases,all_releases,trans_press_share_pct,canonical_spend_trans_clients
2022-Q1,336,5041,6.67,313439751
2022-Q2,278,5114,5.44,302190786
2022-Q3,344,5223,6.59,322361129
2022-Q4,336,4324,7.77,316290151
2023-Q1,487,7899,6.17,316836975
2023-Q2,571,8015,7.12,306098658
2023-Q3,478,6885,6.94,280453771
2023-Q4,506,7450,6.79,318015936
2024-Q1,688,8772,7.84,330864750
2024-Q2,776,9476,8.19,295717363
2024-Q3,577,7902,7.3,281563282
2024-Q4,510,5433,9.39,296209209
2025-Q1,797,13772,5.79,318488363
2025-Q2,682,12775,5.34,316017857
2025-Q3,640,11147,5.74,289726938
2025-Q4,691,10624,6.5,311990884
2026-Q1,873,11466,7.61,320588559
