filing_year,filing_period,trans_filings,trans_clients,canonical_spend_trans_clients
2022,first_quarter,2606,2212,313439751
2022,second_quarter,2623,2229,302190786
2022,third_quarter,2633,2241,322361129
2022,fourth_quarter,2586,2191,316290151
2023,first_quarter,2589,2179,316836975
2023,second_quarter,2676,2250,306098658
2023,third_quarter,2659,2242,280453771
2023,fourth_quarter,2628,2220,318015936
2024,first_quarter,2642,2232,330864750
2024,second_quarter,2628,2229,295717363
2024,third_quarter,2535,2168,281563282
2024,fourth_quarter,2493,2128,296209209
2025,first_quarter,2465,2078,318488363
2025,second_quarter,2553,2137,316017857
2025,third_quarter,2565,2142,289726938
2025,fourth_quarter,2549,2128,311990884
2026,first_quarter,2348,1985,320588559
