registrant,client,q_income,cite_uuid,registration_only,terminated_same_q,lda_public_url
BALLARD PARTNERS,"CHRIS KISE & ASSOCIATES, P.A. ON BEHALF OF BANCREDITO HOLDING CORPORATION",630000,11138ad8-5683-4d3a-a689-e2aca14def2a,False,False,https://lda.senate.gov/filings/public/filing/11138ad8-5683-4d3a-a689-e2aca14def2a/print/
J M BURKMAN & ASSOCIATES,TORENCE HATCH,600000,1f0b6bd9-acc4-4aa0-9ec6-44646d9b4445,False,False,https://lda.senate.gov/filings/public/filing/1f0b6bd9-acc4-4aa0-9ec6-44646d9b4445/print/
JAVELIN ADVISORS LLC,"I-MEI FOODS CO., LTD.",500000,6a10d223-f56b-40c7-8f9f-e1b6571673b0,False,False,https://lda.senate.gov/filings/public/filing/6a10d223-f56b-40c7-8f9f-e1b6571673b0/print/
SEIDEN LAW LLP,LEAK YIM,500000,c24e549d-3e98-4f84-8153-b1c886081f78,False,False,https://lda.senate.gov/filings/public/filing/c24e549d-3e98-4f84-8153-b1c886081f78/print/
BALLARD PARTNERS,NEROBREEZE LIMITED,500000,99d448db-79f4-46e4-9046-b1ce477da78f,False,False,https://lda.senate.gov/filings/public/filing/99d448db-79f4-46e4-9046-b1ce477da78f/print/
CHECKMATE GOVERNMENT RELATIONS,GUNVOR GROUP,450000,44556ae1-8a13-44dc-bb9f-3182efc40bba,False,True,https://lda.senate.gov/filings/public/filing/44556ae1-8a13-44dc-bb9f-3182efc40bba/print/
JAVELIN ADVISORS LLC,NIOCORP DEVELOPMENTS LTD,400000,0c51bb10-ce6f-4cf4-b458-3592b1b51c28,False,False,https://lda.senate.gov/filings/public/filing/0c51bb10-ce6f-4cf4-b458-3592b1b51c28/print/
STEPTOE LLP,"NEPA WHOLESALE, INC.",360000,65e3d569-a633-4d52-b949-74e08109900d,False,False,https://lda.senate.gov/filings/public/filing/65e3d569-a633-4d52-b949-74e08109900d/print/
"TSG ADVOCATES DC, LLC",TWIN EAGLES ALLIANCE INC.,360000,74468b92-0fdd-4b7d-aa09-bc488744443f,False,False,https://lda.senate.gov/filings/public/filing/74468b92-0fdd-4b7d-aa09-bc488744443f/print/
"MILLER STRATEGIES, LLC",Morgan Stanley & Co. LLC,300000,70881a6d-d64e-4b65-a05f-85462bffaa73,False,False,https://lda.senate.gov/filings/public/filing/70881a6d-d64e-4b65-a05f-85462bffaa73/print/
STEPTOE LLP,PACIFIC SQUARE LLC (O/B/O ELDORADO),300000,3ea6b93c-721b-49a0-8925-ba1c338756cf,False,False,https://lda.senate.gov/filings/public/filing/3ea6b93c-721b-49a0-8925-ba1c338756cf/print/
STERLINGTON PLLC,SELIM ZHERKA,295000,8e80050a-3440-415e-88e9-5a64aa9f3b39,False,False,https://lda.senate.gov/filings/public/filing/8e80050a-3440-415e-88e9-5a64aa9f3b39/print/
CHECKMATE GOVERNMENT RELATIONS,HILLFIELD LLC,290000,1be5bdb1-bb25-4264-a5e5-aaa7d8ee7778,False,False,https://lda.senate.gov/filings/public/filing/1be5bdb1-bb25-4264-a5e5-aaa7d8ee7778/print/
BALLARD PARTNERS,OGMA SSH FZ-LLC,280000,79039d3e-32f3-406c-9fa1-ad086f8751d6,False,False,https://lda.senate.gov/filings/public/filing/79039d3e-32f3-406c-9fa1-ad086f8751d6/print/
"CORCORAN & ASSOCIATES, INC. DBA CORCORAN PARTNERS",OLIVA CIGAR COMPANY,250000,bb14b7fa-aa5b-4f5b-b50d-cb27302683b0,False,False,https://lda.senate.gov/filings/public/filing/bb14b7fa-aa5b-4f5b-b50d-cb27302683b0/print/
BALLARD PARTNERS,Kimberly-Clark Corporation,230000,241e53f2-1101-4e5e-9a77-0503957e1097,False,False,https://lda.senate.gov/filings/public/filing/241e53f2-1101-4e5e-9a77-0503957e1097/print/
BALLARD PARTNERS,FIVETRAN INC.,200000,299f05be-b1a7-4506-8b66-425ebdcb7d87,False,False,https://lda.senate.gov/filings/public/filing/299f05be-b1a7-4506-8b66-425ebdcb7d87/print/
BGR GOVERNMENT AFFAIRS,NEBIUS GROUP N.V. (FKA YANDEX N.V.),200000,6e081262-7aa3-4a7a-be99-1f569cd0875f,False,False,https://lda.senate.gov/filings/public/filing/6e081262-7aa3-4a7a-be99-1f569cd0875f/print/
"H.A. CUMBER & COMPANY, INC.","SCHOLAR ROCK, INC.",200000,1db80e9c-b9f9-4a88-8b35-0ff9d9651ca6,False,False,https://lda.senate.gov/filings/public/filing/1db80e9c-b9f9-4a88-8b35-0ff9d9651ca6/print/
MR. DAVID FRIEDMAN,"Teva Pharmaceuticals USA, Inc.",200000,ef7cebea-4958-4f18-b598-dcc553d9c8b0,False,False,https://lda.senate.gov/filings/public/filing/ef7cebea-4958-4f18-b598-dcc553d9c8b0/print/
BALLARD PARTNERS,"ACCUTAR BIOTECHNOLOGY, INC.",170000,58ba5d8f-b1ae-4ed2-b10f-99d9ed335912,False,False,https://lda.senate.gov/filings/public/filing/58ba5d8f-b1ae-4ed2-b10f-99d9ed335912/print/
SQUIRE PATTON BOGGS,BUILDING TRADES EMPLOYERS ASSOCIATION,170000,7b56e8b3-70ed-43e7-8c02-4a430d6ae458,False,False,https://lda.senate.gov/filings/public/filing/7b56e8b3-70ed-43e7-8c02-4a430d6ae458/print/
VALCOUR LLC,SALIM KHALIL,170000,31d4f6ec-6209-4158-8af0-9b71e4ca8efa,False,False,https://lda.senate.gov/filings/public/filing/31d4f6ec-6209-4158-8af0-9b71e4ca8efa/print/
"MERCURY PUBLIC AFFAIRS, LLC",TP-LINK SYSTEMS INC. (FKA TP-LINK GLOBAL INC.),160000,02908bc6-edde-4067-a3a8-297a2b368cdc,False,False,https://lda.senate.gov/filings/public/filing/02908bc6-edde-4067-a3a8-297a2b368cdc/print/
CHECKMATE GOVERNMENT RELATIONS,BITDEER,150000,7e641dd5-a7bc-43ef-9467-9325fab302a2,False,False,https://lda.senate.gov/filings/public/filing/7e641dd5-a7bc-43ef-9467-9325fab302a2/print/
BALLARD PARTNERS,"FLEX, LTD.",150000,063787fe-5a4b-4ae1-b785-665569eb3dde,False,False,https://lda.senate.gov/filings/public/filing/063787fe-5a4b-4ae1-b785-665569eb3dde/print/
MISSION STRATEGIES LLC (ENERGY),Hanwha Q CELLS America Inc.,150000,2859bfe0-2d9e-47a1-aca2-7960774cadcf,False,False,https://lda.senate.gov/filings/public/filing/2859bfe0-2d9e-47a1-aca2-7960774cadcf/print/
HOLLAND & KNIGHT LLP,MEDICAL APPAREL MADE FOR AMERICA - HAITI COALITION,150000,de892b90-9909-4336-aaeb-311bdc8d0899,False,False,https://lda.senate.gov/filings/public/filing/de892b90-9909-4336-aaeb-311bdc8d0899/print/
"MILLER STRATEGIES, LLC",Planet Labs PBC,150000,0a539257-845d-48a7-814d-2b10b4c6d925,False,False,https://lda.senate.gov/filings/public/filing/0a539257-845d-48a7-814d-2b10b4c6d925/print/
CHECKMATE GOVERNMENT RELATIONS,YAMAHA MOTOR CORPORATION,150000,1e5f55b8-8809-4726-ad10-c2a332ed2a2d,False,False,https://lda.senate.gov/filings/public/filing/1e5f55b8-8809-4726-ad10-c2a332ed2a2d/print/
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ALEX VON FURSTENBERG,140000,9ee3fd89-af7e-409f-9a96-da22ba99c304,False,False,https://lda.senate.gov/filings/public/filing/9ee3fd89-af7e-409f-9a96-da22ba99c304/print/
"MINDSET ADVOCACY, LLC",American Trailer Manufacturers Coalition,140000,ad19da78-1266-4487-b16e-bc1c652e876e,False,False,https://lda.senate.gov/filings/public/filing/ad19da78-1266-4487-b16e-bc1c652e876e/print/
HOGAN LOVELLS US LLP,NOZAN JAAFAR MUSTAFA AND SHEIKH JAAFAR MUSTAFA,140000,a65505a5-e59d-49eb-a09c-4d90d9644979,False,False,https://lda.senate.gov/filings/public/filing/a65505a5-e59d-49eb-a09c-4d90d9644979/print/
"LIBERTY PARTNERS GROUP, LLC",PatientsACT,140000,d4be9570-4f09-49fe-909b-59ce79be95af,False,False,https://lda.senate.gov/filings/public/filing/d4be9570-4f09-49fe-909b-59ce79be95af/print/
COVE STRATEGIES,AKTOR TECHNICAL AND ENERGY PRODUCTS,130000,c02c27ca-ac19-40d2-aaa0-a0c97ac3b8b2,False,False,https://lda.senate.gov/filings/public/filing/c02c27ca-ac19-40d2-aaa0-a0c97ac3b8b2/print/
RRB STRATEGIES LLC,Anne Pramaggiore,130000,f249328d-8fa1-4fa7-a646-1c7b32956be0,False,False,https://lda.senate.gov/filings/public/filing/f249328d-8fa1-4fa7-a646-1c7b32956be0/print/
BALLARD PARTNERS,CHANA HOLDINGS LLC,130000,bf411bd6-57f8-47a5-905a-deaccc9cf122,False,False,https://lda.senate.gov/filings/public/filing/bf411bd6-57f8-47a5-905a-deaccc9cf122/print/
BAKER & HOSTETLER LLP,Coretsu Inc.,130000,933759ce-678a-4d20-bc14-51e7466cef3a,False,False,https://lda.senate.gov/filings/public/filing/933759ce-678a-4d20-bc14-51e7466cef3a/print/
"MILLER STRATEGIES, LLC","Waste Connections US, Inc.",130000,e49713f0-0c19-4f8a-9843-a951c4d8a9d0,False,False,https://lda.senate.gov/filings/public/filing/e49713f0-0c19-4f8a-9843-a951c4d8a9d0/print/
"CONTINENTAL STRATEGY, LLC",PEPPERTREE CAPITAL MANAGEMENT INC.,125000,5e33227b-956d-4d72-9312-cca2faaa7540,False,False,https://lda.senate.gov/filings/public/filing/5e33227b-956d-4d72-9312-cca2faaa7540/print/
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),Coretsu Inc.,120000,8c5240f4-4069-4d8d-949c-8fc8533f749d,False,False,https://lda.senate.gov/filings/public/filing/8c5240f4-4069-4d8d-949c-8fc8533f749d/print/
"MILLER STRATEGIES, LLC","NIKE, Inc.",120000,a42de90b-f6a8-43a6-885b-65448b994bd6,False,False,https://lda.senate.gov/filings/public/filing/a42de90b-f6a8-43a6-885b-65448b994bd6/print/
BALLARD PARTNERS,SEACOAST NATIONAL BANK,120000,0d2ecb84-a7f0-4127-975d-f01c8c31a058,False,False,https://lda.senate.gov/filings/public/filing/0d2ecb84-a7f0-4127-975d-f01c8c31a058/print/
MICHAEL BEST STRATEGIES LLC,"SHARX, LLC",120000,77c975e3-2477-49a2-abf7-4ce6e104fb15,False,False,https://lda.senate.gov/filings/public/filing/77c975e3-2477-49a2-abf7-4ce6e104fb15/print/
BGR GOVERNMENT AFFAIRS,SSR MINING,120000,da7f635d-02d5-48f5-b5d1-8e601a6abc20,False,False,https://lda.senate.gov/filings/public/filing/da7f635d-02d5-48f5-b5d1-8e601a6abc20/print/
BALLARD PARTNERS,ZAYO,120000,8a34f579-96aa-424c-9414-34ed2058d818,False,False,https://lda.senate.gov/filings/public/filing/8a34f579-96aa-424c-9414-34ed2058d818/print/
"CONTINENTAL STRATEGY, LLC",ROLEX SA,116667,a28da92f-cdeb-4049-8c58-d937189b8ae7,False,False,https://lda.senate.gov/filings/public/filing/a28da92f-cdeb-4049-8c58-d937189b8ae7/print/
BALLARD PARTNERS,AMERICAN BATTERY TECHNOLOGY COMPANY,110000,4a728ddf-b9dd-44a0-ac00-a9fe7563335f,False,False,https://lda.senate.gov/filings/public/filing/4a728ddf-b9dd-44a0-ac00-a9fe7563335f/print/
BALLARD PARTNERS,American Chemistry Council,110000,46503c4d-7894-4f77-bf0a-fe82936a00a0,False,False,https://lda.senate.gov/filings/public/filing/46503c4d-7894-4f77-bf0a-fe82936a00a0/print/
"MERCURY PUBLIC AFFAIRS, LLC",BUTTON BOWL LLC,110000,a4c5550d-e17e-4b19-ac43-ac4f2107fd72,False,False,https://lda.senate.gov/filings/public/filing/a4c5550d-e17e-4b19-ac43-ac4f2107fd72/print/
ANKURA ADVOCACY LLC,EGA AMERICA INC.,110000,f65dbfaa-a6f4-43a3-a426-96d57f7090ce,False,False,https://lda.senate.gov/filings/public/filing/f65dbfaa-a6f4-43a3-a426-96d57f7090ce/print/
ARNOLD & PORTER KAYE SCHOLER LLP,FEBRABAN,110000,49b7aa7f-ba9e-484d-a69e-d202c501754f,False,False,https://lda.senate.gov/filings/public/filing/49b7aa7f-ba9e-484d-a69e-d202c501754f/print/
FOLEY & LARDNER LLP,HALOMD,110000,aeeb0306-0204-4c5d-be9d-bf0f2ca6c165,False,False,https://lda.senate.gov/filings/public/filing/aeeb0306-0204-4c5d-be9d-bf0f2ca6c165/print/
THE BERNHARDT GROUP LLC,KINTERRA CAPITAL CORP,110000,3cab6a51-1b4a-432c-945e-54ae749e05d9,False,False,https://lda.senate.gov/filings/public/filing/3cab6a51-1b4a-432c-945e-54ae749e05d9/print/
HOLLAND & KNIGHT LLP,NATIONAL CONFEDERATION OF FINANCIAL INSTITUTIONS,110000,02806b70-000b-45f1-b697-2c3fc003687d,False,False,https://lda.senate.gov/filings/public/filing/02806b70-000b-45f1-b697-2c3fc003687d/print/
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",PARAMOUNT SKYDANCE CORPORATION (FKA PARAMOUNT GLOBAL),110000,ce11ee74-96df-45c8-b586-b6bf62518756,False,False,https://lda.senate.gov/filings/public/filing/ce11ee74-96df-45c8-b586-b6bf62518756/print/
MICHAEL BEST STRATEGIES LLC,PRINCIPAL MINERAL CO.,110000,3202554f-148f-4f0c-b26c-bfb066c92b83,False,False,https://lda.senate.gov/filings/public/filing/3202554f-148f-4f0c-b26c-bfb066c92b83/print/
