client,old_firm,new_firm,hire_dq,move,client_q_canonical_spend,term_uuid,term_lda_url,hire_uuid,hire_lda_url
AARP,ALIGNMENT GOVERNMENT STRATEGIES,"CM STRATEGIC, LLC",1,,5300000,68cd2d6c-bd91-479d-912c-9a06c8234851,https://lda.senate.gov/filings/public/filing/68cd2d6c-bd91-479d-912c-9a06c8234851/print/,1099c10b-73fa-4a75-b6cf-e20b5ee40f70,https://lda.senate.gov/filings/public/filing/1099c10b-73fa-4a75-b6cf-e20b5ee40f70/print/
AARP,"ARTICLE ONE GROUP, LLC","CM STRATEGIC, LLC",1,,5300000,797ec1cb-8c18-42f8-83c6-5b318853e069,https://lda.senate.gov/filings/public/filing/797ec1cb-8c18-42f8-83c6-5b318853e069/print/,1099c10b-73fa-4a75-b6cf-e20b5ee40f70,https://lda.senate.gov/filings/public/filing/1099c10b-73fa-4a75-b6cf-e20b5ee40f70/print/
Phillips 66,THE WASHINGTON TAX & PUBLIC POLICY GROUP,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",1,,3760000,eca4a292-e554-4501-bdba-7b03c4064b37,https://lda.senate.gov/filings/public/filing/eca4a292-e554-4501-bdba-7b03c4064b37/print/,04ec7ab6-ad13-471b-a22d-b23f77007c64,https://lda.senate.gov/filings/public/filing/04ec7ab6-ad13-471b-a22d-b23f77007c64/print/
NCTA - The Internet & Television Association,STRATEGIES 360,"SIGHTLINE ADVOCACY, LLC",0,,3680000,331ba272-b2e3-4388-b860-b0baf6eb7220,https://lda.senate.gov/filings/public/filing/331ba272-b2e3-4388-b860-b0baf6eb7220/print/,66c4d945-27f4-4360-b042-f34ffaec2c1f,https://lda.senate.gov/filings/public/filing/66c4d945-27f4-4360-b042-f34ffaec2c1f/print/
NCTA - The Internet & Television Association,STRATEGIES 360,THE WAYFINDER GROUP,1,,3680000,331ba272-b2e3-4388-b860-b0baf6eb7220,https://lda.senate.gov/filings/public/filing/331ba272-b2e3-4388-b860-b0baf6eb7220/print/,2881a04a-cbf8-4d25-b5c0-b03bd6006792,https://lda.senate.gov/filings/public/filing/2881a04a-cbf8-4d25-b5c0-b03bd6006792/print/
Google Client Services LLC,JAMES JOCHUM,"KOUNTOUPES DENHAM CARR & REID, LLC",0,,3350000,14f03996-3644-4334-89b2-5eb1250a2be8,https://lda.senate.gov/filings/public/filing/14f03996-3644-4334-89b2-5eb1250a2be8/print/,2b0004dc-6a9a-4106-ad7f-97270176a8b9,https://lda.senate.gov/filings/public/filing/2b0004dc-6a9a-4106-ad7f-97270176a8b9/print/
Comcast Corporation,HSA STRATEGIES,AQUIA GROUP INC. (F.K.A. AQUIA GROUP LLC),1,,3190000,b6bfa6c7-7ace-4a70-9088-23c41ef795d3,https://lda.senate.gov/filings/public/filing/b6bfa6c7-7ace-4a70-9088-23c41ef795d3/print/,178eacea-cc43-4e30-abeb-d670bc835617,https://lda.senate.gov/filings/public/filing/178eacea-cc43-4e30-abeb-d670bc835617/print/
Comcast Corporation,HSA STRATEGIES,"THEGROUP DC, LLC",1,,3190000,b6bfa6c7-7ace-4a70-9088-23c41ef795d3,https://lda.senate.gov/filings/public/filing/b6bfa6c7-7ace-4a70-9088-23c41ef795d3/print/,5c7c43e8-939f-41a8-b40d-a5ff63b137a2,https://lda.senate.gov/filings/public/filing/5c7c43e8-939f-41a8-b40d-a5ff63b137a2/print/
ConocoPhillips,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",S-3 GROUP,1,,2630000,a656dd90-8944-40c0-879c-981297559ed8,https://lda.senate.gov/filings/public/filing/a656dd90-8944-40c0-879c-981297559ed8/print/,6201fd53-f316-42ee-80ec-0ab273f030a5,https://lda.senate.gov/filings/public/filing/6201fd53-f316-42ee-80ec-0ab273f030a5/print/
ConocoPhillips,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",THE BERNHARDT GROUP LLC,-1,,2630000,a656dd90-8944-40c0-879c-981297559ed8,https://lda.senate.gov/filings/public/filing/a656dd90-8944-40c0-879c-981297559ed8/print/,6dc35e92-fdd9-403d-9317-cc6413e9b731,https://lda.senate.gov/filings/public/filing/6dc35e92-fdd9-403d-9317-cc6413e9b731/print/
Edison Electric Institute,"MILLER STRATEGIES, LLC","HARBINGER STRATEGIES, LLC",1,,2330747,ea821b39-824c-4b11-882f-3957f993a1df,https://lda.senate.gov/filings/public/filing/ea821b39-824c-4b11-882f-3957f993a1df/print/,3c252dd8-20b0-42f9-8079-865378315a41,https://lda.senate.gov/filings/public/filing/3c252dd8-20b0-42f9-8079-865378315a41/print/
Edison Electric Institute,"MILLER STRATEGIES, LLC","S2R, LLC",1,,2330747,ea821b39-824c-4b11-882f-3957f993a1df,https://lda.senate.gov/filings/public/filing/ea821b39-824c-4b11-882f-3957f993a1df/print/,6ac4d8d9-9b93-4bdd-95e3-6e9657a19b29,https://lda.senate.gov/filings/public/filing/6ac4d8d9-9b93-4bdd-95e3-6e9657a19b29/print/
Edison Electric Institute,"MISSY EDWARDS STRATEGIES, LLC","HARBINGER STRATEGIES, LLC",1,,2330747,e2cf1b4e-f35f-44da-9e94-185eddb9c6cd,https://lda.senate.gov/filings/public/filing/e2cf1b4e-f35f-44da-9e94-185eddb9c6cd/print/,3c252dd8-20b0-42f9-8079-865378315a41,https://lda.senate.gov/filings/public/filing/3c252dd8-20b0-42f9-8079-865378315a41/print/
Edison Electric Institute,"MISSY EDWARDS STRATEGIES, LLC","S2R, LLC",1,,2330747,e2cf1b4e-f35f-44da-9e94-185eddb9c6cd,https://lda.senate.gov/filings/public/filing/e2cf1b4e-f35f-44da-9e94-185eddb9c6cd/print/,6ac4d8d9-9b93-4bdd-95e3-6e9657a19b29,https://lda.senate.gov/filings/public/filing/6ac4d8d9-9b93-4bdd-95e3-6e9657a19b29/print/
"NextEra Energy, Inc.",CROWELL & MORING LLP,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",-1,,2159000,ec3c4d8f-739f-4845-9cc0-9723b805d9d1,https://lda.senate.gov/filings/public/filing/ec3c4d8f-739f-4845-9cc0-9723b805d9d1/print/,e607c9cf-8747-4dbd-9d09-c76dd6aac636,https://lda.senate.gov/filings/public/filing/e607c9cf-8747-4dbd-9d09-c76dd6aac636/print/
"NextEra Energy, Inc.",CROWELL & MORING LLP,"CONTINENTAL STRATEGY, LLC",0,,2159000,ec3c4d8f-739f-4845-9cc0-9723b805d9d1,https://lda.senate.gov/filings/public/filing/ec3c4d8f-739f-4845-9cc0-9723b805d9d1/print/,35c2a5da-70ee-4d95-b2f7-9397035040e4,https://lda.senate.gov/filings/public/filing/35c2a5da-70ee-4d95-b2f7-9397035040e4/print/
