registrant,kind,client,amount,filing_uuid,lda_public_url
AKIN GUMP STRAUSS HAUER & FELD,lost,"Coupang, Inc.",270000,0e829113-4b16-4fd7-ae5a-38093a92414d,https://lda.senate.gov/filings/public/filing/0e829113-4b16-4fd7-ae5a-38093a92414d/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,"Salesforce.com, Inc.",240000,ccb26fe4-761c-4867-829a-bf1eb7e1390f,https://lda.senate.gov/filings/public/filing/ccb26fe4-761c-4867-829a-bf1eb7e1390f/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,Education Reform Now Advocacy,200000,82224423-ee8e-4f55-beec-f894bff360ef,https://lda.senate.gov/filings/public/filing/82224423-ee8e-4f55-beec-f894bff360ef/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,"HEALTHCARE PRIVACY FORUM, LLC DBA, HEALTHCARE TRUST INSTITUTE",180000,2fafb918-fd38-4e8b-932c-f42a611924ab,https://lda.senate.gov/filings/public/filing/2fafb918-fd38-4e8b-932c-f42a611924ab/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,THE US-CHINA BUSINESS COUNCIL,170000,ef6b3833-0261-4f12-b0ca-72896b481395,https://lda.senate.gov/filings/public/filing/ef6b3833-0261-4f12-b0ca-72896b481395/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,Fluor Corporation,150000,bb4a1a83-7e70-42ec-97df-8fd29c832c73,https://lda.senate.gov/filings/public/filing/bb4a1a83-7e70-42ec-97df-8fd29c832c73/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,GENERAL ELECTRIC COMPANY DBA GE AEROSPACE,100000,db81c08e-4778-49a6-857c-f0d5a40037ee,https://lda.senate.gov/filings/public/filing/db81c08e-4778-49a6-857c-f0d5a40037ee/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,Pipe Line Contractors Association,70000,0554c69e-aed4-4f0e-a86a-96fda9059124,https://lda.senate.gov/filings/public/filing/0554c69e-aed4-4f0e-a86a-96fda9059124/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,1HUDDLE INC,,4e26fddc-451d-4e09-992f-fb7b4514edee,https://lda.senate.gov/filings/public/filing/4e26fddc-451d-4e09-992f-fb7b4514edee/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,BARRICK MINING CORPORATION,,35d18abd-4a43-4ba2-abcf-a341fb73a070,https://lda.senate.gov/filings/public/filing/35d18abd-4a43-4ba2-abcf-a341fb73a070/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,BLACKIE CAPITAL INC.,,410381cb-c7b3-452f-bd0b-a42a00a9a887,https://lda.senate.gov/filings/public/filing/410381cb-c7b3-452f-bd0b-a42a00a9a887/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,CPS Energy,,44f9034c-3d9c-4591-9876-e99eed30ccfc,https://lda.senate.gov/filings/public/filing/44f9034c-3d9c-4591-9876-e99eed30ccfc/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,"DCI GROUP AZ LLC (FKA DCI GROUP AZ, L.L.C.)",,ffcf1abb-c796-46f5-8baa-fedfb9b40869,https://lda.senate.gov/filings/public/filing/ffcf1abb-c796-46f5-8baa-fedfb9b40869/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,MSC MEDITERRANEAN SHIPPING COMPANY SA,,be4e5bbf-2ed6-4a57-ae54-cc2472b7545b,https://lda.senate.gov/filings/public/filing/be4e5bbf-2ed6-4a57-ae54-cc2472b7545b/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,"TI CAPITAL MANAGEMENT, LLC",270000,316742de-f3cd-4e72-b154-1213bb675ce1,https://lda.senate.gov/filings/public/filing/316742de-f3cd-4e72-b154-1213bb675ce1/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,COMPANIA DE FERROCARRILES CHIAPAS-MAYAB,230000,baeb0860-cee9-4c79-9a9b-4af050f25b7a,https://lda.senate.gov/filings/public/filing/baeb0860-cee9-4c79-9a9b-4af050f25b7a/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,WetStone Holdings Ltd.,150000,296136b0-8c1a-48be-88ad-14a96a397de2,https://lda.senate.gov/filings/public/filing/296136b0-8c1a-48be-88ad-14a96a397de2/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,Spotify USA Inc.,130000,7823555b-bb4e-4e1d-a21b-643c37e158cd,https://lda.senate.gov/filings/public/filing/7823555b-bb4e-4e1d-a21b-643c37e158cd/print/
