registrant,n_lost,lost_trail4_income,n_new,net
"BALLARD PARTNERS, LLC",32,7070000,46,14
HOLLAND & KNIGHT LLP,16,2090000,35,19
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",14,780000,33,19
CHECKMATE GOVERNMENT RELATIONS,16,4785000,31,15
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",16,1730000,30,14
"CONTINENTAL STRATEGY, LLC",8,1698075,29,21
INVARIANT LLC,17,2600000,20,3
"MCALLISTER & QUINN, LLC",1,50000,35,34
AKIN GUMP STRAUSS HAUER & FELD,14,1380000,19,5
THE WAYFINDER GROUP,0,,33,33
BGR GOVERNMENT AFFAIRS,6,870000,25,19
SQUIRE PATTON BOGGS,15,700000,15,0
"CROSSROADS STRATEGIES, LLC",8,930000,21,13
STRATEGIC MARKETING INNOVATIONS,16,1470000,13,-3
THORN RUN PARTNERS,5,510000,24,19
"MILLER STRATEGIES, LLC",11,2610000,17,6
"MERCURY PUBLIC AFFAIRS, LLC",12,1620000,15,3
THE VOGEL GROUP,10,983000,16,6
MONUMENT ADVOCACY,6,780000,18,12
AXADVOCACY GOVERNMENT RELATIONS,5,250000,17,12
CAPITOL COUNSEL LLC,14,1420000,8,-6
"CASSIDY & ASSOCIATES, INC.",8,1240000,14,6
"COVENANT GOVERNMENT AFFAIRS, LLC",2,122000,20,18
COZEN O'CONNOR PUBLIC STRATEGIES,21,2700000,1,-20
"BECKER & POLIAKOFF, P.A.",2,140000,19,17
FORBES-TATE,13,1080000,7,-6
"TSG ADVOCATES DC, LLC",7,591000,12,5
AMERICAN DEFENSE INTERNATIONAL,5,220000,13,8
"K&L GATES, LLP",11,80000,7,-4
MICHAEL BEST STRATEGIES LLC,9,1560000,9,0
VAN SCOYOC ASSOCIATES,11,880000,7,-4
S-3 GROUP,6,760000,11,5
"ERVIN GRAVES STRATEGY GROUP, LLC",4,430000,10,6
FOLEY & LARDNER LLP,8,240000,6,-2
POTOMAC STRATEGIC CONSULTING LLC,0,,14,14
STEPTOE LLP,9,820000,5,-4
THE ROOSEVELT GROUP,3,,11,8
ANCHOR & ARROW LLC,1,10000,12,11
DLA PIPER LLP (US),8,1060000,5,-3
"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",4,630000,9,5
WINNING STRATEGIES WASHINGTON,6,360000,7,1
ACG ADVOCACY,2,150000,10,8
"BARNES & THORNBURG, LLP",5,110000,7,2
"DB3, LLC (FKA THE DASCHLE GROUP)",6,360000,6,0
"ICEBREAKER STRATEGIES, LLC",2,300000,10,8
LOBBYIT.COM,9,140000,3,-6
THE CONSILIO GROUP,12,601750,0,-12
ALSTON & BIRD LLP,4,320000,7,3
FAEGRE DRINKER BIDDLE & REATH LLP,7,380000,4,-3
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),8,680000,3,-5
"LIBERTY PARTNERS GROUP, LLC",1,40000,10,9
MAVERICK HILL PARTNERS,0,,11,11
AQUIA GROUP INC. (F.K.A. AQUIA GROUP LLC),1,230000,9,8
"CJ LAKE, LLC",10,960000,0,-10
HB STRATEGIES (FKA HUSCH BLACKWELL STRATEGIES),4,225000,6,2
"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",5,1180000,5,0
PILLSBURY WINTHROP SHAW PITTMAN LLP,4,160000,6,2
VALCOUR LLC,5,820000,5,0
"BOCKORNY GROUP, INC.",7,553000,2,-5
CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),3,180000,6,3
FRONTERA GROUP,0,,9,9
HOGAN LOVELLS US LLP,6,240000,3,-3
"JEFFREY J. KIMBELL & ASSOCIATES, INC.",4,110000,5,1
LNE GROUP,1,,8,7
"MEHLMAN CONSULTING, INC.",3,420000,6,3
"WILLIAMS AND JENSEN, PLLC",4,390000,5,1
CONVERGE PUBLIC STRATEGIES,5,500000,3,-2
"LONE STAR CONSULTING, LLC",2,5000,6,4
"MERCHANT MCINTYRE & ASSOCIATES, LLC",2,180000,6,4
POLSINELLI PC,7,680000,1,-6
RAGNAR GROUP LLC,3,390000,5,2
REVERE FEDERAL STRATEGIES,0,,8,8
VENABLE LLP,0,,8,8
"1607 STRATEGIES, LLC",5,185000,2,-3
"ALPINE GROUP PARTNERS, LLC.",5,640000,2,-3
BRACEWELL LLP,5,90000,2,-3
CAPITOL 6 ADVISORS,0,,7,7
"CGCN GROUP, LLC",2,420000,5,3
"CORCORAN & ASSOCIATES, INC. DBA CORCORAN PARTNERS",2,70000,5,3
EHRLICH & ASSOCIATES,1,200000,6,5
FEROX STRATEGIES,0,,7,7
J M BURKMAN & ASSOCIATES,4,1566000,3,-1
KLEIN/JOHNSON GROUP,4,380000,3,-1
"KOUNTOUPES DENHAM CARR & REID, LLC",3,570000,4,1
"MINDSET ADVOCACY, LLC",3,610000,4,1
"NORTH STAR STRATEGIES, LLC",4,120000,3,-1
"RUBIN, TURNBULL & ASSOCIATES",5,890000,2,-3
STINSON LLP,1,80000,6,5
"TARPLIN, DOWNS & YOUNG, LLC",5,880000,2,-3
"THEGROUP DC, LLC",2,250000,5,3
ARK STRATEGY,0,,6,6
ATLAS CROSSING LLC,0,,6,6
BOUNDARY STONE PARTNERS,3,600000,3,0
BRIAN GLACKIN & ASSOCIATES LLC,2,180000,4,2
CARMEN GROUP INCORPORATED,4,510000,2,-2
CHARTWELL STRATEGY GROUP LLC,3,250000,3,0
CONNECTOR INC.,0,,6,6
FIDELITY STRATEGIES,0,,6,6
"LEWIS-BURKE ASSOCIATES, LLC",1,120000,5,4
LOT SIXTEEN LLC,1,,5,4
MAVEN ADVOCACY PARTNERS LLC,2,170000,4,2
"ML STRATEGIES, LLC",1,110000,5,4
"OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC",2,40000,4,2
"REPUBLIC CONSULTING, LLC",3,390000,3,0
RIDGE PATH STRATEGIES,0,,6,6
"THE MCKEON GROUP, INC.",3,150000,3,0
TIBER CREEK GROUP,1,190000,5,4
"ADAMS AND REESE, LLP",0,,5,5
ADAPTIVE GOVERNMENT RELATIONS,0,,5,5
ALB SOLUTIONS,0,,5,5
AMERICAN CAPITOL GROUP,3,60000,2,-1
ARNOLD & PORTER KAYE SCHOLER LLP,1,,4,3
AVENUE SOLUTIONS,2,380000,3,1
"AVOQ, LLC",2,380000,3,1
BOHL GOVERNMENT AFFAIRS,0,,5,5
BRADLEY ARANT BOULT CUMMINGS LLP,4,210000,1,-3
