client,registrant,filing_uuid,filing_type,reported_income,lda_public_url
1X TECHNOLOGIES,"MILLER STRATEGIES, LLC",6f0234f1-aaff-49c5-a3f6-11252c83f221,Q1,20000,https://lda.senate.gov/filings/public/filing/6f0234f1-aaff-49c5-a3f6-11252c83f221/print/
1X TECHNOLOGIES,"MILLER STRATEGIES, LLC",a3aea893-0332-41c8-b112-7512f2ba2649,RR,,https://lda.senate.gov/filings/public/filing/a3aea893-0332-41c8-b112-7512f2ba2649/print/
3DOTS CAPITAL LLC,"TSG ADVOCATES DC, LLC",124cb957-1f2f-4454-a887-4a39e09630f2,Q1Y,40000,https://lda.senate.gov/filings/public/filing/124cb957-1f2f-4454-a887-4a39e09630f2/print/
3DOTS CAPITAL LLC,"TSG ADVOCATES DC, LLC",012694bc-61e9-4d71-89ed-c7f5fe3436d3,RR,,https://lda.senate.gov/filings/public/filing/012694bc-61e9-4d71-89ed-c7f5fe3436d3/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,cacadf61-b40e-4e6a-909f-cf1fc431cabf,Q1,60000,https://lda.senate.gov/filings/public/filing/cacadf61-b40e-4e6a-909f-cf1fc431cabf/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,cacadf61-b40e-4e6a-909f-cf1fc431cabf,Q1,60000,https://lda.senate.gov/filings/public/filing/cacadf61-b40e-4e6a-909f-cf1fc431cabf/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,cacadf61-b40e-4e6a-909f-cf1fc431cabf,Q1,60000,https://lda.senate.gov/filings/public/filing/cacadf61-b40e-4e6a-909f-cf1fc431cabf/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,cacadf61-b40e-4e6a-909f-cf1fc431cabf,Q1,60000,https://lda.senate.gov/filings/public/filing/cacadf61-b40e-4e6a-909f-cf1fc431cabf/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,cacadf61-b40e-4e6a-909f-cf1fc431cabf,Q1,60000,https://lda.senate.gov/filings/public/filing/cacadf61-b40e-4e6a-909f-cf1fc431cabf/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,cacadf61-b40e-4e6a-909f-cf1fc431cabf,Q1,60000,https://lda.senate.gov/filings/public/filing/cacadf61-b40e-4e6a-909f-cf1fc431cabf/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,cacadf61-b40e-4e6a-909f-cf1fc431cabf,Q1,60000,https://lda.senate.gov/filings/public/filing/cacadf61-b40e-4e6a-909f-cf1fc431cabf/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,cacadf61-b40e-4e6a-909f-cf1fc431cabf,Q1,60000,https://lda.senate.gov/filings/public/filing/cacadf61-b40e-4e6a-909f-cf1fc431cabf/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,cacadf61-b40e-4e6a-909f-cf1fc431cabf,Q1,60000,https://lda.senate.gov/filings/public/filing/cacadf61-b40e-4e6a-909f-cf1fc431cabf/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,cacadf61-b40e-4e6a-909f-cf1fc431cabf,Q1,60000,https://lda.senate.gov/filings/public/filing/cacadf61-b40e-4e6a-909f-cf1fc431cabf/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,cacadf61-b40e-4e6a-909f-cf1fc431cabf,Q1,60000,https://lda.senate.gov/filings/public/filing/cacadf61-b40e-4e6a-909f-cf1fc431cabf/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,ebf013fd-923a-4310-a866-3cb010d6e46b,RR,,https://lda.senate.gov/filings/public/filing/ebf013fd-923a-4310-a866-3cb010d6e46b/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,ebf013fd-923a-4310-a866-3cb010d6e46b,RR,,https://lda.senate.gov/filings/public/filing/ebf013fd-923a-4310-a866-3cb010d6e46b/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,ebf013fd-923a-4310-a866-3cb010d6e46b,RR,,https://lda.senate.gov/filings/public/filing/ebf013fd-923a-4310-a866-3cb010d6e46b/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,ebf013fd-923a-4310-a866-3cb010d6e46b,RR,,https://lda.senate.gov/filings/public/filing/ebf013fd-923a-4310-a866-3cb010d6e46b/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,ebf013fd-923a-4310-a866-3cb010d6e46b,RR,,https://lda.senate.gov/filings/public/filing/ebf013fd-923a-4310-a866-3cb010d6e46b/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,ebf013fd-923a-4310-a866-3cb010d6e46b,RR,,https://lda.senate.gov/filings/public/filing/ebf013fd-923a-4310-a866-3cb010d6e46b/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,ebf013fd-923a-4310-a866-3cb010d6e46b,RR,,https://lda.senate.gov/filings/public/filing/ebf013fd-923a-4310-a866-3cb010d6e46b/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,ebf013fd-923a-4310-a866-3cb010d6e46b,RR,,https://lda.senate.gov/filings/public/filing/ebf013fd-923a-4310-a866-3cb010d6e46b/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,ebf013fd-923a-4310-a866-3cb010d6e46b,RR,,https://lda.senate.gov/filings/public/filing/ebf013fd-923a-4310-a866-3cb010d6e46b/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,ebf013fd-923a-4310-a866-3cb010d6e46b,RR,,https://lda.senate.gov/filings/public/filing/ebf013fd-923a-4310-a866-3cb010d6e46b/print/
3M Company,AMERICAN DEFENSE INTERNATIONAL,ebf013fd-923a-4310-a866-3cb010d6e46b,RR,,https://lda.senate.gov/filings/public/filing/ebf013fd-923a-4310-a866-3cb010d6e46b/print/
"413, LLC",FIDELITY STRATEGIES,331a5c6d-4606-4fd3-8738-d66f149a600d,Q1,10000,https://lda.senate.gov/filings/public/filing/331a5c6d-4606-4fd3-8738-d66f149a600d/print/
"413, LLC",FIDELITY STRATEGIES,b4cf9a50-124d-4fa5-ad85-909fbcbc2543,RR,,https://lda.senate.gov/filings/public/filing/b4cf9a50-124d-4fa5-ad85-909fbcbc2543/print/
"535 Group, LLC on behalf of D-Wave Government Inc.",CAPITOL 6 ADVISORS,6dc0030e-354c-4e7c-a828-c34a3dc575d5,Q1,,https://lda.senate.gov/filings/public/filing/6dc0030e-354c-4e7c-a828-c34a3dc575d5/print/
"535 Group, LLC on behalf of D-Wave Government Inc.",CAPITOL 6 ADVISORS,6dc0030e-354c-4e7c-a828-c34a3dc575d5,Q1,,https://lda.senate.gov/filings/public/filing/6dc0030e-354c-4e7c-a828-c34a3dc575d5/print/
"535 Group, LLC on behalf of D-Wave Government Inc.",CAPITOL 6 ADVISORS,6dc0030e-354c-4e7c-a828-c34a3dc575d5,Q1,,https://lda.senate.gov/filings/public/filing/6dc0030e-354c-4e7c-a828-c34a3dc575d5/print/
"535 Group, LLC on behalf of D-Wave Government Inc.",CAPITOL 6 ADVISORS,e56bf1d6-a3ef-41b5-9273-a37f78aa63f0,RR,,https://lda.senate.gov/filings/public/filing/e56bf1d6-a3ef-41b5-9273-a37f78aa63f0/print/
"535 Group, LLC on behalf of D-Wave Government Inc.",CAPITOL 6 ADVISORS,e56bf1d6-a3ef-41b5-9273-a37f78aa63f0,RR,,https://lda.senate.gov/filings/public/filing/e56bf1d6-a3ef-41b5-9273-a37f78aa63f0/print/
"535 Group, LLC on behalf of D-Wave Government Inc.",CAPITOL 6 ADVISORS,e56bf1d6-a3ef-41b5-9273-a37f78aa63f0,RR,,https://lda.senate.gov/filings/public/filing/e56bf1d6-a3ef-41b5-9273-a37f78aa63f0/print/
9 MOTHERS DEFENSE,MAVEN ADVOCACY PARTNERS LLC,851ce0ab-6f0e-43c7-a881-e3582a129c0c,Q1Y,,https://lda.senate.gov/filings/public/filing/851ce0ab-6f0e-43c7-a881-e3582a129c0c/print/
9 MOTHERS DEFENSE,MAVEN ADVOCACY PARTNERS LLC,5ae9d6d6-b739-4676-ac36-7a2d2432c6b1,RR,,https://lda.senate.gov/filings/public/filing/5ae9d6d6-b739-4676-ac36-7a2d2432c6b1/print/
A1 LITHIUM,THORN RUN PARTNERS,dda08bfc-01b1-4629-b558-0133be25b95a,Q1,30000,https://lda.senate.gov/filings/public/filing/dda08bfc-01b1-4629-b558-0133be25b95a/print/
A1 LITHIUM,THORN RUN PARTNERS,f2df7713-ef89-4214-9662-cd164c189d43,RR,,https://lda.senate.gov/filings/public/filing/f2df7713-ef89-4214-9662-cd164c189d43/print/
A16Z,ZERO MILE STRATEGIES,8e23305c-2d46-4df0-a09b-afa9586f12be,RR,,https://lda.senate.gov/filings/public/filing/8e23305c-2d46-4df0-a09b-afa9586f12be/print/
AARP,"CM STRATEGIC, LLC",1099c10b-73fa-4a75-b6cf-e20b5ee40f70,RR,,https://lda.senate.gov/filings/public/filing/1099c10b-73fa-4a75-b6cf-e20b5ee40f70/print/
AARP,"CM STRATEGIC, LLC",1099c10b-73fa-4a75-b6cf-e20b5ee40f70,RR,,https://lda.senate.gov/filings/public/filing/1099c10b-73fa-4a75-b6cf-e20b5ee40f70/print/
AARP,"CM STRATEGIC, LLC",1099c10b-73fa-4a75-b6cf-e20b5ee40f70,RR,,https://lda.senate.gov/filings/public/filing/1099c10b-73fa-4a75-b6cf-e20b5ee40f70/print/
AARP,"CM STRATEGIC, LLC",1099c10b-73fa-4a75-b6cf-e20b5ee40f70,RR,,https://lda.senate.gov/filings/public/filing/1099c10b-73fa-4a75-b6cf-e20b5ee40f70/print/
AARP,"CM STRATEGIC, LLC",1099c10b-73fa-4a75-b6cf-e20b5ee40f70,RR,,https://lda.senate.gov/filings/public/filing/1099c10b-73fa-4a75-b6cf-e20b5ee40f70/print/
