client,registrant,term_uuid,bar_trail4_income,quarter,income,filing_uuid,filing_type,in_trail4_window,lda_public_url
Joseph Schwartz,J M BURKMAN & ASSOCIATES,b6e2b16d-d90e-4716-b127-f4ea262ae00f,960000,2025-Q2,960000,e741a1c5-7644-4f1e-8590-db11669460c9,Q2,True,https://lda.senate.gov/filings/public/filing/e741a1c5-7644-4f1e-8590-db11669460c9/print/
Joseph Schwartz,J M BURKMAN & ASSOCIATES,b6e2b16d-d90e-4716-b127-f4ea262ae00f,960000,2025-Q3,,d3fb03a9-ef5e-4efe-9980-54491eb9bbd8,Q3,True,https://lda.senate.gov/filings/public/filing/d3fb03a9-ef5e-4efe-9980-54491eb9bbd8/print/
Joseph Schwartz,J M BURKMAN & ASSOCIATES,b6e2b16d-d90e-4716-b127-f4ea262ae00f,960000,2025-Q4,,c9df902f-6251-48cd-8dbc-cbccc9c67d3d,Q4,True,https://lda.senate.gov/filings/public/filing/c9df902f-6251-48cd-8dbc-cbccc9c67d3d/print/
Joseph Schwartz,J M BURKMAN & ASSOCIATES,b6e2b16d-d90e-4716-b127-f4ea262ae00f,960000,2026-Q1,,b6e2b16d-d90e-4716-b127-f4ea262ae00f,1T,True,https://lda.senate.gov/filings/public/filing/b6e2b16d-d90e-4716-b127-f4ea262ae00f/print/
MONTE VALLE ENERGY LLC,CHECKMATE GOVERNMENT RELATIONS,ee6c4339-70c9-47a0-9fec-053bcacc994c,900000,2025-Q2,300000,c65e94c9-346c-4cc6-af35-b132fdba784e,Q2,True,https://lda.senate.gov/filings/public/filing/c65e94c9-346c-4cc6-af35-b132fdba784e/print/
MONTE VALLE ENERGY LLC,CHECKMATE GOVERNMENT RELATIONS,ee6c4339-70c9-47a0-9fec-053bcacc994c,900000,2025-Q3,300000,5d89a65a-3306-4912-a843-95b6fcbee153,Q3,True,https://lda.senate.gov/filings/public/filing/5d89a65a-3306-4912-a843-95b6fcbee153/print/
MONTE VALLE ENERGY LLC,CHECKMATE GOVERNMENT RELATIONS,ee6c4339-70c9-47a0-9fec-053bcacc994c,900000,2025-Q4,300000,b19c6871-1d33-4c37-89e7-53c64ae828a2,Q4,True,https://lda.senate.gov/filings/public/filing/b19c6871-1d33-4c37-89e7-53c64ae828a2/print/
MONTE VALLE ENERGY LLC,CHECKMATE GOVERNMENT RELATIONS,ee6c4339-70c9-47a0-9fec-053bcacc994c,900000,2026-Q1,,ee6c4339-70c9-47a0-9fec-053bcacc994c,1T,True,https://lda.senate.gov/filings/public/filing/ee6c4339-70c9-47a0-9fec-053bcacc994c/print/
"OFFICES OF BRADLEY WINE O/B/O REGULUS GLOBAL LLC/UEP, INC.DBA UNION TECHNOLOGIES",COZEN O'CONNOR PUBLIC STRATEGIES,bfe04bed-a171-46a6-9982-500a494f8b68,600000,2025-Q1,70000,203f9bb2-0bb8-4592-8a92-d582a7263286,Q1,False,https://lda.senate.gov/filings/public/filing/203f9bb2-0bb8-4592-8a92-d582a7263286/print/
"OFFICES OF BRADLEY WINE O/B/O REGULUS GLOBAL LLC/UEP, INC.DBA UNION TECHNOLOGIES",COZEN O'CONNOR PUBLIC STRATEGIES,bfe04bed-a171-46a6-9982-500a494f8b68,600000,2025-Q2,200000,0865c251-9a5c-4b05-8da9-5f4c59007286,Q2,True,https://lda.senate.gov/filings/public/filing/0865c251-9a5c-4b05-8da9-5f4c59007286/print/
"OFFICES OF BRADLEY WINE O/B/O REGULUS GLOBAL LLC/UEP, INC.DBA UNION TECHNOLOGIES",COZEN O'CONNOR PUBLIC STRATEGIES,bfe04bed-a171-46a6-9982-500a494f8b68,600000,2025-Q3,200000,1a1f196f-f126-4c2d-8e8b-2210e539f2e4,Q3,True,https://lda.senate.gov/filings/public/filing/1a1f196f-f126-4c2d-8e8b-2210e539f2e4/print/
"OFFICES OF BRADLEY WINE O/B/O REGULUS GLOBAL LLC/UEP, INC.DBA UNION TECHNOLOGIES",COZEN O'CONNOR PUBLIC STRATEGIES,bfe04bed-a171-46a6-9982-500a494f8b68,600000,2025-Q4,200000,4a0c15db-9642-48b1-b47b-4ffd42463ef5,Q4,True,https://lda.senate.gov/filings/public/filing/4a0c15db-9642-48b1-b47b-4ffd42463ef5/print/
"OFFICES OF BRADLEY WINE O/B/O REGULUS GLOBAL LLC/UEP, INC.DBA UNION TECHNOLOGIES",COZEN O'CONNOR PUBLIC STRATEGIES,bfe04bed-a171-46a6-9982-500a494f8b68,600000,2026-Q1,,bfe04bed-a171-46a6-9982-500a494f8b68,1TY,True,https://lda.senate.gov/filings/public/filing/bfe04bed-a171-46a6-9982-500a494f8b68/print/
TORENCE HATCH,J M BURKMAN & ASSOCIATES,f9c3a194-3f90-4802-934b-f4c4753d39f0,600000,2025-Q4,600000,1f0b6bd9-acc4-4aa0-9ec6-44646d9b4445,Q4,True,https://lda.senate.gov/filings/public/filing/1f0b6bd9-acc4-4aa0-9ec6-44646d9b4445/print/
