quarter,kind,registrant,client,income_trail4_or_firstq,filing_uuid,lda_public_url
2022-Q1,hire,COVINGTON & BURLING LLP,Qualcomm Incorporated,1540000,6fa815c1-3ba1-46e5-9836-d72f58e757fb,https://lda.senate.gov/filings/public/filing/6fa815c1-3ba1-46e5-9836-d72f58e757fb/print/
2022-Q1,hire,MR. ROBERT K WEIDNER,RPLCC,1400000,8eca3ee7-5651-4e1a-9961-1a5add9179ee,https://lda.senate.gov/filings/public/filing/8eca3ee7-5651-4e1a-9961-1a5add9179ee/print/
2022-Q1,hire,"ROBERTI GLOBAL (F/K/A ROBERTI WHITE, LLC)",Nord Stream 2 AG,1210000,c5d2686c-a944-426c-b81e-833c4ede2700,https://lda.senate.gov/filings/public/filing/c5d2686c-a944-426c-b81e-833c4ede2700/print/
2022-Q1,hire,DLA PIPER LLP (US),"Illumina, Inc.",1180000,77b7ce9d-2c94-4d2d-a94d-596bbfce4edf,https://lda.senate.gov/filings/public/filing/77b7ce9d-2c94-4d2d-a94d-596bbfce4edf/print/
2022-Q1,hire,AKIN GUMP STRAUSS HAUER & FELD,GILA RIVER INDIAN COMMUNITY,860000,9092e40b-75e3-4c5c-a4ee-9ae0cc4a19f8,https://lda.senate.gov/filings/public/filing/9092e40b-75e3-4c5c-a4ee-9ae0cc4a19f8/print/
2022-Q1,hire,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),820000,ab507010-439c-41da-8729-c9b9c1562715,https://lda.senate.gov/filings/public/filing/ab507010-439c-41da-8729-c9b9c1562715/print/
2022-Q1,hire,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,690388,50f2ebbc-a514-4e23-b929-5c4198c7c203,https://lda.senate.gov/filings/public/filing/50f2ebbc-a514-4e23-b929-5c4198c7c203/print/
2022-Q1,hire,SIDLEY AUSTIN LLP,"Hikvision USA, Inc.",500000,ba9bdf23-a573-4aa9-ad95-18b41b4f6f03,https://lda.senate.gov/filings/public/filing/ba9bdf23-a573-4aa9-ad95-18b41b4f6f03/print/
2022-Q1,hire,SIDLEY AUSTIN LLP,"Illumina, Inc.",490000,4ffbb796-250b-4376-b309-10555071b66d,https://lda.senate.gov/filings/public/filing/4ffbb796-250b-4376-b309-10555071b66d/print/
2022-Q1,hire,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",LIGHTSTONE INVESTMENTS LLC,470000,102684b0-64bf-4b89-9261-f55ea7ee4358,https://lda.senate.gov/filings/public/filing/102684b0-64bf-4b89-9261-f55ea7ee4358/print/
2022-Q1,hire,KAMINS CONSULTING,Victims of Terrorism - East Africa,470000,483f37ba-9025-4b1e-b9f3-c51b694b6fac,https://lda.senate.gov/filings/public/filing/483f37ba-9025-4b1e-b9f3-c51b694b6fac/print/
2022-Q1,hire,MONUMENT ADVOCACY,Victims of Terrorism - East Africa,470000,c01295b1-8433-4f0e-bdb7-13790e302c18,https://lda.senate.gov/filings/public/filing/c01295b1-8433-4f0e-bdb7-13790e302c18/print/
2022-Q1,hire,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ATHENE HOLDING,450000,dbf35822-f2e9-4a41-b449-22de64ab99a5,https://lda.senate.gov/filings/public/filing/dbf35822-f2e9-4a41-b449-22de64ab99a5/print/
2022-Q1,hire,SQUIRE PATTON BOGGS,Huawei Technologies USA Inc.,450000,53d84773-ab08-47fc-9bca-168218bd21e9,https://lda.senate.gov/filings/public/filing/53d84773-ab08-47fc-9bca-168218bd21e9/print/
2022-Q1,hire,THE WASHINGTON TAX & PUBLIC POLICY GROUP,ALLIANCE FOR BIOPHARMACEUTICAL COMPETITIVENESS AND INNOVATION,440000,22ee0de7-10bc-42ab-a574-7b436951a665,https://lda.senate.gov/filings/public/filing/22ee0de7-10bc-42ab-a574-7b436951a665/print/
2022-Q1,hire,COVINGTON & BURLING LLP,American Clinical Laboratory Association,420000,551710bf-102d-470f-af80-a59fe7325e87,https://lda.senate.gov/filings/public/filing/551710bf-102d-470f-af80-a59fe7325e87/print/
2022-Q1,hire,BGR GOVERNMENT AFFAIRS,Nord Stream 2 AG,420000,9279043c-1adc-4f2d-aeaa-05bb6d73d739,https://lda.senate.gov/filings/public/filing/9279043c-1adc-4f2d-aeaa-05bb6d73d739/print/
2022-Q1,hire,AKIN GUMP STRAUSS HAUER & FELD,ZTE CORPORATION,410000,c617139d-66b2-49bb-acbc-b67041a66e02,https://lda.senate.gov/filings/public/filing/c617139d-66b2-49bb-acbc-b67041a66e02/print/
2022-Q1,hire,"HARBINGER STRATEGIES, LLC",The Blackstone Group,390000,f9117026-8e09-4953-8193-9d06ee9fa6d3,https://lda.senate.gov/filings/public/filing/f9117026-8e09-4953-8193-9d06ee9fa6d3/print/
2022-Q1,hire,"MCCARTER & ENGLISH, LLP","NORWEGIAN CRUISE LINE HOLDINGS, LTD.",375000,dfa87fce-5f27-472a-a335-3811079e62d1,https://lda.senate.gov/filings/public/filing/dfa87fce-5f27-472a-a335-3811079e62d1/print/
2022-Q1,hire,"K&L GATES, LLP",AMERICAN MARITIME PARTNERSHIP,360000,ab82de54-f804-4011-9343-c438694b5c36,https://lda.senate.gov/filings/public/filing/ab82de54-f804-4011-9343-c438694b5c36/print/
2022-Q1,hire,RUSHMORE STRATEGIC ADVISORS LLC,KIRIL DOMUSCHIEV AND GEORGI DOMUSCHIEV,360000,7ed6294a-3a52-4425-9f8a-4e563ef84fe8,https://lda.senate.gov/filings/public/filing/7ed6294a-3a52-4425-9f8a-4e563ef84fe8/print/
2022-Q1,hire,"MINTZ LEVIN COHN FERRIS GLOVSKY AND POPEO, P.C.",NCTA - The Internet & Television Association,360000,b8f45e5a-20e6-4284-afa0-d95ec13584c9,https://lda.senate.gov/filings/public/filing/b8f45e5a-20e6-4284-afa0-d95ec13584c9/print/
2022-Q1,hire,THE WASHINGTON TAX & PUBLIC POLICY GROUP,TAX REFORM COALITION,340000,ecbad8c1-6815-476b-b427-96b1ed99847a,https://lda.senate.gov/filings/public/filing/ecbad8c1-6815-476b-b427-96b1ed99847a/print/
2022-Q1,hire,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",Apollo Global Management,330000,fd8aebd2-2722-4d10-9f40-06d011106f11,https://lda.senate.gov/filings/public/filing/fd8aebd2-2722-4d10-9f40-06d011106f11/print/
2022-Q1,hire,VENN STRATEGIES,EMPLOYEE-OWNED CONTRACTORS ROUNDTABLE,330000,2c310bce-8a23-41e0-8d75-270364d7dbbc,https://lda.senate.gov/filings/public/filing/2c310bce-8a23-41e0-8d75-270364d7dbbc/print/
2022-Q1,hire,AMERICAN VETERINARY MEDICAL ASSOCIATION,American Veterinary Medical Association,320000,cee6f881-d049-47e3-8751-7bf94a5ac7c8,https://lda.senate.gov/filings/public/filing/cee6f881-d049-47e3-8751-7bf94a5ac7c8/print/
2022-Q1,hire,CARMEN GROUP INCORPORATED,GLOBALFOUNDRIES U.S. Inc.,300000,08d5905e-2405-420c-9c68-ce8e00bc2033,https://lda.senate.gov/filings/public/filing/08d5905e-2405-420c-9c68-ce8e00bc2033/print/
2022-Q1,hire,COVINGTON & BURLING LLP,PHARMACEUTICAL RESEARCH MANUFACTURERS OF AMERICA,280000,d5e26355-ac5a-41cb-8768-009086374aa1,https://lda.senate.gov/filings/public/filing/d5e26355-ac5a-41cb-8768-009086374aa1/print/
2022-Q1,hire,MCLARTY INBOUND LLC,FIRST QUANTUM MINERALS LTD.,270000,95d4bd96-99bf-4533-80c2-b33a93c58345,https://lda.senate.gov/filings/public/filing/95d4bd96-99bf-4533-80c2-b33a93c58345/print/
2022-Q1,term,"ROBERTI GLOBAL (F/K/A ROBERTI WHITE, LLC)",Nord Stream 2 AG,1210000,3c62a230-10e2-4594-882f-4f7919c0a31c,https://lda.senate.gov/filings/public/filing/3c62a230-10e2-4594-882f-4f7919c0a31c/print/
2022-Q1,term,BGR GOVERNMENT AFFAIRS,Nord Stream 2 AG,420000,9279043c-1adc-4f2d-aeaa-05bb6d73d739,https://lda.senate.gov/filings/public/filing/9279043c-1adc-4f2d-aeaa-05bb6d73d739/print/
2022-Q1,term,MCLARTY INBOUND LLC,HYDRO S.R.L.,120000,c9aa97cc-ee7e-432f-88be-5cc512a9c60f,https://lda.senate.gov/filings/public/filing/c9aa97cc-ee7e-432f-88be-5cc512a9c60f/print/
2022-Q1,term,WASHINGTON ALLIANCE GROUP,Southwest Research Institute,120000,dea34ff8-9e96-4346-9911-a99c625ca4a0,https://lda.senate.gov/filings/public/filing/dea34ff8-9e96-4346-9911-a99c625ca4a0/print/
2022-Q1,term,VITELLO CONSULTING,OLYMPIA MEDICAL CENTER,90000,c66f53bf-0c6c-40dd-abf5-dfd02c24fb65,https://lda.senate.gov/filings/public/filing/c66f53bf-0c6c-40dd-abf5-dfd02c24fb65/print/
2022-Q1,term,"BOCKORNY GROUP, INC.",Cognosante,80000,725a7fd5-c413-495c-a3c6-dbf4e669a0a9,https://lda.senate.gov/filings/public/filing/725a7fd5-c413-495c-a3c6-dbf4e669a0a9/print/
2022-Q1,term,SQUIRE PATTON BOGGS,UNITED STATES INFRASTRUCTURE CORPORATION,80000,6d64007b-6b3b-4a12-a396-fea7b6a53d1c,https://lda.senate.gov/filings/public/filing/6d64007b-6b3b-4a12-a396-fea7b6a53d1c/print/
2022-Q1,term,THE DUBERSTEIN GROUP INC.,"Aramark Services, Inc.",75000,f9bebd82-aa8f-4bc1-91ab-0f9927cdad46,https://lda.senate.gov/filings/public/filing/f9bebd82-aa8f-4bc1-91ab-0f9927cdad46/print/
2022-Q1,term,FORBES-TATE,"CAPITOL SOLUTIONS ON BEHALF OF BIPARTISAN POLICY CENTER ADVOCACY NETWORK, INC.",70000,bbd43af7-a29f-47d2-9dcc-88a5b10ffc97,https://lda.senate.gov/filings/public/filing/bbd43af7-a29f-47d2-9dcc-88a5b10ffc97/print/
